Cites;Authors;title;Year;Source;Publisher;ArticleURL;CitesURL;GSRank;QueryDate;Type;DOI;ISSN;CitationURL;Volume;Issue;StartPage;EndPage;ECC;CitesPerYear;CitesPerAuthor;AuthorCount;Age;Abstract;FullTextURL;RelatedURL
1;A Afwa, ND Djajasinga, A Sudirman, ...;raising the tourism industry as an economic driver post covid-19;2021;… on blended learning …;atlantis-press.com;https://www.atlantis-press.com/article/125957897.pdf;https://scholar.google.com/scholar?cites=12041512224357632803&as_sdt=2005&sciodt=2007&hl=en;36;16.12.2021 01:42;PDF;;;;;;;;1;100;0;4;1;The COVID-19 outbreak spread throughout the world and developed into a non-natural disaster. This pandemic has created crises in various fields, including in the tourism sector. The tourism sector is one of the sectors hardest hit by this disaster because almost every …;https://www.atlantis-press.com/article/125957897.pdf;https://scholar.google.com/scholar?q=related:I0tcw5ELHKcJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:economic&hl=en&as_sdt=2007
1;EE S?VAN, OR BODE, M GORI;the travel and tourism industry prior and during covid-19 pandemic-from a main global economic engine to its decline;2020;Studia Universitatis Babes-Bolyai …;ceeol.com;https://www.ceeol.com/search/article-detail?id=917078;https://scholar.google.com/scholar?cites=10825257415770019470&as_sdt=2005&sciodt=2007&hl=en;42;16.12.2021 01:42;;;;;;;;;1;100;0;3;1;"The COVID-19 pandemic and the restrictions on travel established as a response to it, have a serious impact on Travel and Tourism industry. The global health crisis shut down hotels, restaurants and cafes, and many other additional businesses; it has grounded airplanes and …";;https://scholar.google.com/scholar?q=related:jpYi1UMKO5YJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:economic&hl=en&as_sdt=2007
1;CN Doris;the social-economic and environmental impacts of covid-19 on tourism;2020;;idosr.org;https://www.idosr.org/wp-content/uploads/2020/12/IDOSR-JAS-SI5-1-6-2020.pdf;https://scholar.google.com/scholar?cites=1553510133381933269&as_sdt=2005&sciodt=2007&hl=en;48;16.12.2021 01:42;PDF;;;;;;;;1;100;1;1;1;"ABSTRACT COVID-19 is not only a worldwide pandemic and public health disaster; it has also sternly affected the worldwide economy and environments. The pandemic has led to considerable reductions in earnings, increase in joblessness, and disruptions in the …";https://www.idosr.org/wp-content/uploads/2020/12/IDOSR-JAS-SI5-1-6-2020.pdf;https://scholar.google.com/scholar?q=related:1SgzRzwtjxUJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:economic&hl=en&as_sdt=2007
1;A Polo;economic crisis and tourism crisis in the conditions of covid-19 the case of albania;2020;Education, Law, Business;conferencii.com;http://conferencii.com/files/archive/2020-04.pdf#page=55;https://scholar.google.com/scholar?cites=12966828522819560136&as_sdt=2005&sciodt=2007&hl=en;69;16.12.2021 01:42;PDF;;;;;;;;1;100;1;1;1;The pandemic sheds light on the social and economic systems around the world, exposing some of the imperfections of capitalism. Capitalism is facing at least three major crises: A health crisis caused by the pandemic, which causes a crisis in the economy with …;http://conferencii.com/files/archive/2020-04.pdf#page=55;https://scholar.google.com/scholar?q=related:yCIQHtdt87MJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:economic&hl=en&as_sdt=2007
1;WAA Hardiani, E Rahayu, ...; of pandemic covid 19 family support and study motivation towards interests in education study in indonesian tourism economic ;2020;Jurnal Manajemen STIE …;journal.stiem.ac.id;http://journal.stiem.ac.id/index.php/jurman/article/view/599;https://scholar.google.com/scholar?cites=15219802840479783952&as_sdt=2005&sciodt=2007&hl=en;75;16.12.2021 01:42;;;;;;;;;1;100;0;3;1;This study aims to determine the effect of the Covid 19 pandemic, family support, and learning motivation on interest in entering higher education. The population used is prospective new students from the two study programs of the Indonesian School of Tourism …;https://journal.stiem.ac.id/index.php/jurman/article/download/599/420;https://scholar.google.com/scholar?q=related:EFxHoguaN9MJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:economic&hl=en&as_sdt=2007
1;United Nations World Tourism Organization; jobs and economies through travel  tourisma call for action to mitigate the socio-economic impact of covid-19 and accelerate recovery;2020;;;;https://scholar.google.com/scholar?cites=2399643060984951099&as_sdt=2005&sciodt=2007&hl=en;85;16.12.2021 01:42;CITATION;;;;;;;;1;100;1;1;1;;;
1;D Seyahat, T Konseyi;travel  tourism economic impact from covid-19;2020;Eriþim Tarihi;;;https://scholar.google.com/scholar?cites=14255311671361980421&as_sdt=2005&sciodt=2007&hl=en;88;16.12.2021 01:42;CITATION;;;;;;;;1;100;1;2;1;;;
1;K Bitok;sustainable tourism and economic growth nexus in kenya policy implications for post-covid-19;2019;Journal of Sustainable Tourism and …;pdfs.semanticscholar.org;https://pdfs.semanticscholar.org/9af3/1ccecbced5991ef2fa49ec04957be0d5cbe4.pdf;https://scholar.google.com/scholar?cites=3174669979103901195&as_sdt=2005&sciodt=2007&hl=en;25;16.12.2021 01:42;PDF;;;;;;;;1;50;1;1;2;Purpose: The COVID-19 global pandemic has caused an unprecedented socio-economic impact. It has also raised our awareness of the role sustainability needs to play in our economic activities. This study investigated how sustainable tourism has contributed to …;https://pdfs.semanticscholar.org/9af3/1ccecbced5991ef2fa49ec04957be0d5cbe4.pdf;https://scholar.google.com/scholar?q=related:C7aVn4axDiwJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:economic&hl=en&as_sdt=2007
1;EG Leonidova;russian tourism during the covid-19 assessing effect of stimulating domestic demand for the country and regions economy;2021;Ekonomicheskie i Sotsialnye Peremeny;search.proquest.com;https://search.proquest.com/openview/4959d7f34f5782e0a22fbaa152b10aee/1?pq-origsite=gscholar&cbl=2029687;https://scholar.google.com/scholar?cites=8899278723611696656&as_sdt=2005&sciodt=2007&hl=en;12;16.12.2021 01:34;;;;;;;;;1;100;1;1;1;The COVID-19 pandemic has struck the tourism industry all over the world significantly reducing industry's revenue and number of jobs. It has had a negative impact on the global economy. In Russia, the tourism sector was one of the most affected areas due to the …;;
1;J Martínez-Cabrera, F López-del-Pino;the 10 most crucial circular economy challenge patterns in tourism and the effects of covid-19;2021;Sustainability;mdpi.com;https://www.mdpi.com/1090286;https://scholar.google.com/scholar?cites=3288371411330113375&as_sdt=2005&sciodt=2007&hl=en;17;16.12.2021 01:34;;;;;;;;;1;100;1;2;1;This paper makes a new contribution to the understanding of challenges for the transition toward the circular economy (CE) by identifying the main CE challenge patterns (CECPs) and analyzing their relevance for the tourism sector. Our work is based on a previous …;https://www.mdpi.com/2071-1050/13/9/4940/pdf;https://scholar.google.com/scholar?q=related:X5_hRWCkoi0J:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:economy&hl=en&as_sdt=2007
1;S Fatimah, J Naldi, D Syafrini, Z Alhadi, ...;public historian period pandemic impact overview covid-19 to tourism sector and sustainability society economy bukittinggi;2021;Ilkogretim …;search.ebscohost.com;http://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=13053515&AN=150153808&h=Kpyw4YFBOQwQ1gslwrASGr7%2BvFElv%2B3N%2Bl1YHdip9AY%2FxrWP7GO9e8WHBbkfzOLsekxYc7DsdlVMNOj2dOrV3A%3D%3D&crl=c;https://scholar.google.com/scholar?cites=9464177308468613977&as_sdt=2005&sciodt=2007&hl=en;19;16.12.2021 01:34;;;;;;;;;1;100;0;5;1;Abstract In West Sumatra, the city of Bukittinggi has been a famous tourism city in Indonesia since the colonial era. In line with the COVID-19 outbreak, the entire tourism sector in this city has experienced a collapse. The study aims to analyze the impact of the COVID-19 …;;https://scholar.google.com/scholar?q=related:WZOVYh6DV4MJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:economy&hl=en&as_sdt=2007
1;CL De Silva, D De Silva;the impact of the covid-19 outbreak on social costs of tourism to the sri lankan economy;2020;GWALIOR MANAGEMENT ACADEMY;researchgate.net;https://www.researchgate.net/profile/Christopher-De-Silva/publication/346023575_The_Impact_of_the_COVID-19_Outbreak_on_Social_Costs_of_Tourism_to_The_Sri_Lankan_Economy/links/609fc7bf458515c265935c34/The-Impact-of-the-COVID-19-Outbreak-on-Social-Costs-of-Tourism-to-The-Sri-Lankan-Economy.pdf;https://scholar.google.com/scholar?cites=5925565456801015905&as_sdt=2005&sciodt=2007&hl=en;16;16.12.2021 01:34;PDF;;;;;;;;1;100;1;2;1;The number of confirmed COVID-19 cases has risen rapidly, first in the PRC, and recently globally, pointing out the multiple channels that affect the economy and quantifying potential impact scenarios. On several channels, the COVID 19 epidemic impacts economic activity in …;https://www.researchgate.net/profile/Christopher-De-Silva/publication/346023575_The_Impact_of_the_COVID-19_Outbreak_on_Social_Costs_of_Tourism_to_The_Sri_Lankan_Economy/links/609fc7bf458515c265935c34/The-Impact-of-the-COVID-19-Outbreak-on-Social-Costs-of-Tourism-to-The-Sri-Lankan-Economy.pdf;https://scholar.google.com/scholar?q=related:YSjzUWPWO1IJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:economy&hl=en&as_sdt=2007
1;NT Espiner, E Stewart, SR Espiner, G Degarege;exploring the impacts of the covid-19 national lockdown on outdoor recreationists activity and perceptions of tourism;2021;;researcharchive.lincoln.ac.nz;http://researcharchive.lincoln.ac.nz/handle/10182/13786;https://scholar.google.com/scholar?cites=15654244820473655544&as_sdt=2005&sciodt=2007&hl=en;13;16.12.2021 01:33;;;;;;;;;1;100;0;4;1;The Covid-19 pandemic had an unprecedented effect on tourism and outdoor recreation across the world in the year 2020. In New Zealand, a national lockdown for a period of 5 weeks confined New Zealanders to their local neighbourhoods and severely limited their …;https://researcharchive.lincoln.ac.nz/bitstream/handle/10182/13786/Leap%2056%20-%20Outdoor%20recreation%20tourism%20and%20the%20lockdown.pdf?sequence=1;https://scholar.google.com/scholar?q=related:-LBUd7kMP9kJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:lockdown&hl=en&as_sdt=2007
1;LR Janjua, F Muhammad, P Sukjai, ...;impact of covid-19 pandemic on thailand economy and tourist industry an empirical forecasting using arima;2021;Brazilian Journal of …;bjopm.emnuvens.com.br;https://bjopm.emnuvens.com.br/bjopm/article/view/999;https://scholar.google.com/scholar?cites=11033445862715131263&as_sdt=2005&sciodt=2007&hl=en;1;16.12.2021 01:35;;;;;;;;;1;100;0;4;1;Goal: The tourism sector always plays a vital role among other sectors, which contributes heavily to Thailand's GDP. Due to the recent Pandemic crises, the tourism industry worldwide faces a decline. The aim of writing this paper is to forecast, tourist inflow for …;https://bjopm.emnuvens.com.br/bjopm/article/download/999/972;https://scholar.google.com/scholar?q=related:f4Wj742sHpkJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourist+intitle:economy&hl=en&as_sdt=2007
1;M Doustmohammadi, P Ligrani, M Anderson;modeling the socio-economic impacts of covid-19 using an improved traditional travel demand model;2020;Current Urban Studies;scirp.org;https://www.scirp.org/html/10-1150510_106265.htm;https://scholar.google.com/scholar?cites=10756443012512335472&as_sdt=2005&sciodt=2007&hl=en;6;16.12.2021 01:47;HTML;;;;;;;;1;100;0;3;1;The emergence of the COVID-19 virus and subsequent pandemic has caused unprecedented disruption across many aspects of life across the globe. The implications have necessitated a re-evaluation of travel demand models to include the effects that mass …;https://www.scirp.org/html/10-1150510_106265.htm;https://scholar.google.com/scholar?q=related:cMaHB-6PRpUJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:travel+intitle:economic&hl=en&as_sdt=2007
0;MDS Abdin, R Kumar;economic impact of novel corona virus disease covid-19 on migrant workers rural economy and tourism in india;2020;Anais Brasileiros De Estudos Turisticos …;researchgate.net;https://www.researchgate.net/profile/Rahul-Kumar-183/publication/344535802_ECONOMIC_IMPACT_OF_NOVEL_CORONA_VIRUS_DISEASE_COVID-19_ON_MIGRANT_WORKERS_RURAL_ECONOMY_AND_TOURISM_IN_INDIA/links/5f7e9dfe458515b7cf6f47ad/ECONOMIC-IMPACT-OF-NOVEL-CORONA-VIRUS-DISEASE-COVID-19-ON-MIGRANT-WORKERS-RURAL-ECONOMY-AND-TOURISM-IN-INDIA.pdf;;1;16.12.2021 02:11;PDF;;;;;;;;0;0;0;2;1;Present world is crippled with pandemic COVID-19 that has caused innumerable economic damages and claimed lakhs of lives of people worldwide. There is so much fear among masses, economic activities are shut down, preventive measures are being taken …;https://www.researchgate.net/profile/Rahul-Kumar-183/publication/344535802_ECONOMIC_IMPACT_OF_NOVEL_CORONA_VIRUS_DISEASE_COVID-19_ON_MIGRANT_WORKERS_RURAL_ECONOMY_AND_TOURISM_IN_INDIA/links/5f7e9dfe458515b7cf6f47ad/ECONOMIC-IMPACT-OF-NOVEL-CORONA-VIRUS-DISEASE-COVID-19-ON-MIGRANT-WORKERS-RURAL-ECONOMY-AND-TOURISM-IN-INDIA.pdf;https://scholar.google.com/scholar?q=related:_2AVYo7svh0J:scholar.google.com/&scioq=intitle:corona+intitle:tourism+intitle:economic&hl=en&as_sdt=2007
0;MDS Abdin, R Kumar;economic impact of novel corona virus disease covid-19 on migrant workers rural economy of india and tourism;2020;Anais Brasileiros de Estudos Turísticos …;periodicos.ufjf.br;https://periodicos.ufjf.br/index.php/abet/article/view/30469;;2;16.12.2021 02:11;;;;;;;;;0;0;0;2;1;O mundo atual está afetado pela pandemia de COVID-19, que causou inúmeros danos econômicos e custou milhares de vidas de pessoas em todo o mundo. Há tanto medo entre as massas, atividades econômicas estão fechadas, medidas preventivas estão sendo …;https://periodicos.ufjf.br/index.php/abet/article/view/30469/21435;https://scholar.google.com/scholar?q=related:7Tpnkij_ycIJ:scholar.google.com/&scioq=intitle:corona+intitle:tourism+intitle:economic&hl=en&as_sdt=2007
0;V Šimovi?, R Svetla?i?, TC Radovi?;croatian tourism and economy in the age of corona reflections on the unsustainability of the current economic model;;ET2eR;academia.edu;https://www.academia.edu/download/74652639/ET2eR_Vol3Br2_2021.pdf#page=127;;3;16.12.2021 02:11;PDF;;;;;;;;0;0;0;3;;The pandemic of COVID-19 disease caused by the coronavirus (SARS-CoV-2) started in March 2020. That caused a slowdown or hibernation of numerous economic activities. Activities of trade, transport, travel, and similar services, were heavily affected both globally …;https://www.academia.edu/download/74652639/ET2eR_Vol3Br2_2021.pdf#page=127;
0;N GUERZIZ, N NASRI;the challenges of algeria tourism economy before and post-corona pandemic/?????? ???????? ??????? ?? ??????? ??? ??? ??? ????? ???????;;???? ????? ????????? ????????????, 2021?;asjp.cerist.dz;https://www.asjp.cerist.dz/en/article/150596;;1;16.12.2021 02:09;;;;;;;;;0;0;0;2;;This study aims to highlighting the reality of tourism in Algeria, its natural, cultural and service ingredients, its international ranking by many indicators, and the extent to which they contribute to evolution of balance of payments and crude domestic output and the size of …;https://www.asjp.cerist.dz/en/downArticle/612/4/3/150596;
0;R Ranasinghe, J Herath, D Nawarathna, ...;lockdown pressure of corona pandemic tourism industry pull and individual travel push a critical review preprint;2021;;pesquisa.bvsalud.org;https://pesquisa.bvsalud.org/global-literature-on-novel-coronavirus-2019-ncov/resource/pt/ppcovidwho-9207;;2;16.12.2021 02:08;CITATION;;;;;;;;0;0;0;4;1;Preprints são relatos preliminares de pesquisa que não foram certificados pela revisão por pares. Eles não devem ser considerados para orientar a prática clínica ou comportamentos relacionados à saúde e não devem ser publicados na mídia como informação …;;
0;A Suvittawat; bricolage of small and medium sized entrepreneurs economic in the covid-19 pandemic a case study in hospitality of small and ;2021;Turkish Journal of Field Crops;pesquisa.bvsalud.org;https://pesquisa.bvsalud.org/global-literature-on-novel-coronavirus-2019-ncov/resource/pt/covidwho-1257277;;3;16.12.2021 01:44;;;;;;;;;0;0;0;1;1;ABSTRACT A bricolage by definition is something constructed or created from a diverse range of available things. This quantitative study focuses on the adaption methods of hospitality entrepreneurs during the Covid-19 pandemic. It introduces methods of adaptation …;;https://scholar.google.com/scholar?q=related:LeWVRFACMowJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:hospitality+intitle:economic&hl=en&as_sdt=2007
0;H Al?Mughairi, P Bhaskar, ...;the economic and social impact of covid?19 on tourism and hospitality industry a case study from oman;2021;Journal of Public Affairs …;pesquisa.bvsalud.org;https://pesquisa.bvsalud.org/global-literature-on-novel-coronavirus-2019-ncov/resource/pt/covidwho-1508818;;6;16.12.2021 01:44;;;;;;;;;0;0;0;3;1;The COVID?19 pandemic has incurred a substantial economic and social impact around the world. Many sectors have been drastically affected but the tourism and hospitality industry was one of the hardest hit by the COVID?19 outbreak globally. The coronavirus pandemic …;;
0;A BOYARKINA;analysis of the economic impact of covid-19 on the hospitality industry in the czech republic;2021;;is.vsh.cz;https://is.vsh.cz/th/qgphy/posudek_vedouciho_Svobodova.pdf;;7;16.12.2021 01:44;CITATION;;;;;;;;0;0;0;1;1;Anotace V této praci se bude probírat ekonomick? vliv pandemie Covid-19 na pohostinství C? b?hem období 2019-2020. V první kapitole prob?hne analyza dopad? intervencí a omezení svobody ?eskou vladou, které za?aly v únoru. Byly proverdene studia …;;
0;T MAURER, AL ZELEZINSKII;influence of the economic crisis and consequences of the pandemic of coronavirus of covid-19 on hospitality industry in the ;2021;;elibrary.ru;https://elibrary.ru/item.asp?id=44891536;;9;16.12.2021 01:44;;;;;;;;;0;0;0;2;1;The article is devoted to a question of measures of rendering the state support of small and medium business to the enterprises in the conditions of COVID19 coronavirus pandemic. The article analyses the impact of the pandemic on key sectors of the Russian economy …;;
0;EO Okon;hospitality industry and economic growth review of first wave of covid-19 pandemic effect in nigeria;2021;Journal of Qualitative Social Sciences;;;;12;16.12.2021 01:44;CITATION;;;;;;;;0;0;0;1;1;;;
0;FA Afridi, S Jan;the financial and economic impact of covid-19 on the micro small and medium-sized business operating in the hospitality sector in pakistan;2020;Experts Journal of Management Sciences;expertsms.org;https://expertsms.org/ems/index.php/ejms/article/view/31;;10;16.12.2021 01:44;;;;;;;;;0;0;0;2;1;The purpose of this survey was to investigate the financial and economic impact of COVID-19 on MSMEs operating in the tourism sector in Pakistan. The survey was carried out in October 2020 and shared with non-members and members of the KPK Chamber of …;;
0;GA Ntacho, S Muba;covid 19 the pandemic and price volatility an analysis of hospitality industry in emerging market economy-case study of tanzania;2021;East African Journal of Business and …;journals.eanso.org;https://journals.eanso.org/index.php/eajbe/article/view/479;;2;16.12.2021 01:37;;;;;;;;;0;0;0;2;1;Hotel industries have had the most impact in most of the countries as people went into lockdowns and quarantines as a result of the COVID-19 pandemic. The study aimed at assessing the degree of price change in relation to the profit of hotels before and during the …;;
0;M Adhikary, A Adhikary;hygiene orientation transformation of the hospitality business post covid-19 and a case study from an emerging economy;;academia.edu;;https://www.academia.edu/download/71541151/A2310010110.pdf;;3;16.12.2021 01:37;PDF;;;;;;;;0;0;0;2;;Coronavirus (COVID-19) pandemic caused fear among customers and affected normal life around the globe due to prolonged lockdown. It has disrupted the entire ecosystem of the hospitality industry and also has significant impact on worldwide tourism and hospitality …;https://www.academia.edu/download/71541151/A2310010110.pdf;
0;G Tilak;impact of lockdown in covid-19 on hospitality and tourism industry of india-a review;2021;… Journal of Future Generation Communication and …;researchgate.net;https://www.researchgate.net/profile/Geetali-Tilak/publication/351687119_Impact_of_Lockdown_in_Covid-19_on_Hospitality_and_Tourism_Industry_of_India-A_Review/links/60a4b72fa6fdccb2cc217584/Impact-of-Lockdown-in-Covid-19-on-Hospitality-and-Tourism-Industry-of-India-A-Review.pdf;;3;16.12.2021 01:37;PDF;;;;;;;;0;0;0;1;1;Travel restrictions rose due to COVID-19. It's having a huge impact on hospitality, travel and tourism sectors within India and around the world. The impact to demand for hospitality and tourism is greater than many other industries, but it is mixed among hotels, air and cruise …;https://www.researchgate.net/profile/Geetali-Tilak/publication/351687119_Impact_of_Lockdown_in_Covid-19_on_Hospitality_and_Tourism_Industry_of_India-A_Review/links/60a4b72fa6fdccb2cc217584/Impact-of-Lockdown-in-Covid-19-on-Hospitality-and-Tourism-Industry-of-India-A-Review.pdf;https://scholar.google.com/scholar?q=related:oFD5JlRubmoJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:hospitality+intitle:lockdown&hl=en&as_sdt=2007
0;S Jamgade, M Abby;collaborative operations of hospitality industry during covid-19 lockdown and strategic approach with reference to bangalore india;2021;Atna Journal of Tourism Studies;journals.christuniversity.in;https://journals.christuniversity.in/index.php/atna/article/view/2940;;4;16.12.2021 01:37;;;;;;;;;0;0;0;2;1;The pandemic attack of Coronavirus had lurch the entire world to massive crisis of human illness, fatality, insecurity in family, business instability, and downfall of the economy resulting into huge number of job loss and pay cuts. The inadvertent consequences of …;https://journals.christuniversity.in/index.php/atna/article/download/2940/1933;
0;M Knutzen, S Solberg;a fight to survive lockdown-a multiple case study on how firms in the hospitality industry have responded to the effects of covid-19;2021;;gupea.ub.gu.se;https://gupea.ub.gu.se/handle/2077/70002;;6;16.12.2021 01:37;;;;;;;;;0;0;0;2;1;This paper attempts to explore the theoretical dimensions of crisis management with an abductive approach using the Covid-19 pandemic's effect on the hospitality industry as the main source for secondary as well as primary sources. Interviews were conducted in …;;
0;A Caputo, S Delladio, A Magrini, MM Pellegrini;entrepreneurial decision making during the italian covid-19 lockdown evidences from hospitality smes;2021;;eprints.lincoln.ac.uk;https://eprints.lincoln.ac.uk/id/eprint/45359/;;7;16.12.2021 01:37;;;;;;;;;0;0;0;4;1;Purpose: The following analysis provides a complete framework for understanding the correlation between decision-making logics, with a particular focus on causation and effectuation, and how entrepreneurs of SMEs in northern Italy reacted to crisis and …;;
0;N Chiwawa, H Wissink;determinants of employee engagement in the south african hospitality industry during covid-19 lockdown epoch employee perception;2020;;ajhtl.com;https://www.ajhtl.com/uploads/7/1/6/3/7163688/article_6_10_2_487-499.pdf;;5;16.12.2021 01:37;PDF;;;;;;;;0;0;0;2;1;Employee engagement has emerged as an important concept in hospitality management as well as in human resources management fields. The purpose of the study was to assess the determinants of employee engagement in the South African hospitality industry. The study …;https://www.ajhtl.com/uploads/7/1/6/3/7163688/article_6_10_2_487-499.pdf;
0;S Jain;measuring the satisfaction levels of hospitality sales employees working from home during the covid-19 lockdown;;COVID–19: Crisis, Effects, Challenges and Innovations;researchgate.net;https://www.researchgate.net/profile/Rsuya-Padhra-Haridha/publication/344363641_IMPACT_OF_COVID-19_ON_EDUCATION_EMPLOYMENT_ECONOMY_AND_MENTAL_HEALTH_ISSUES/links/5f6c821292851c14bc925008/IMPACT-OF-COVID-19-ON-EDUCATION-EMPLOYMENT-ECONOMY-AND-MENTAL-HEALTH-ISSUES.pdf#page=35;;8;16.12.2021 01:37;PDF;;;;;;;;0;0;0;1;;Background: The lockdown resulting from the ongoing COVID-19 Pandemic has brought in stagnancy and completely changed the stance of regular life as people have known it. Adapting to this, the companies have directed their employees to work from home. A lot of …;https://www.researchgate.net/profile/Rsuya-Padhra-Haridha/publication/344363641_IMPACT_OF_COVID-19_ON_EDUCATION_EMPLOYMENT_ECONOMY_AND_MENTAL_HEALTH_ISSUES/links/5f6c821292851c14bc925008/IMPACT-OF-COVID-19-ON-EDUCATION-EMPLOYMENT-ECONOMY-AND-MENTAL-HEALTH-ISSUES.pdf#page=35;https://scholar.google.com/scholar?q=related:r2g9nvWM1b4J:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:hospitality+intitle:lockdown&hl=en&as_sdt=2007
0;O Ozdemir, T Dogru, M Kizildag, M Mody, ...;quantifying the economic impact of covid-19 on the us hotel industry examination of hotel segments and operational structures;2021;Tourism Management …;Elsevier;https://www.sciencedirect.com/science/article/pii/S2211973621000775;;3;16.12.2021 01:45;;;;;;;;;0;0;0;5;1;The COVID-19 pandemic has had substantial negative impacts on the global economy. While all sectors of the economy are expected to be adversely affected, the economic implications of this pandemic for the hotel industry have not yet been widely investigated …;;
0;FN Ncube, O Chikuta, V Basera, R Baipai, ...;economic impacts of the covid-19 pandemic on the hotel business in zimbabwe;2021;JOURNAL OF …;journal.uc.ac.id;https://journal.uc.ac.id/index.php/JTCE/article/view/2184;;4;16.12.2021 01:45;;;;;;;;;0;0;0;5;1;It is evident from literature that the spread of the Covid-19 pandemic has brought the world economiesto its 'knees'. No industry has gone untouched by the effects of this pandemic. Globally there has beenan adverse impact on travel which is backbone of the hotel industry …;https://journal.uc.ac.id/index.php/JTCE/article/download/2184/1650;
0;T YIGLETU;theassessment of economic impact of covid 19 outb reak on hotel industries the case of star rated hotels in addis ababa ;2021;;197.156.93.91;http://197.156.93.91/handle/123456789/6124;;5;16.12.2021 01:45;;;;;;;;;0;0;0;1;1;The Covid-19 pandemic has resulted in mass production shutdowns and supply chain disruptions causing global ripple effects across all economic sectors in a manner that was never expected. It is projected that the spread of the disease will have serious humanitarian …;http://197.156.93.91/bitstream/123456789/6124/1/Tsion%20final%20thesis%20doc.pdf;
0;A Wulandari; komparasi kinerja keuangan sebelum dan selama pandemi covid-19 menggunakan rasio profitabilitas likuiditas solvabilitas dan economic value added eva ;2021;;repository.unp.ac.id;http://repository.unp.ac.id/35593/;;6;16.12.2021 01:45;;;;;;;;;0;0;0;1;1;Penelitian ini bertujuan untuk membandingkan kinerja keuangan perusahaan sebelum dan selama pandemi Covid-19. Variabel yang digunakan adalah rasio profitabilitas, likuiditas, solvabilitas dan economic value added (EVA). Objek dalam penelitian ini adalah …;;
0;WAC Bojacá, EMS Pirabán, NAR Castillo;economic and financial impact of the covid-19 pandemic on hotel entities in the municipality of suesca;2021;Journal of business and entrepreneurial …;;;;10;16.12.2021 01:45;CITATION;;;;;;;;0;0;0;3;1;;;
0;CH Vivar, MR Jerez;the impact of covid-19 on tthe sustainable economy in the hotel sector the case of the community of madrid spain;2021;Journal of Tourism and Heritage Research;jthr.es;http://jthr.es/index.php/journal/article/view/272;;1;16.12.2021 01:39;;;;;;;;;0;0;0;2;1;COVID-19 is having a significant impact on Spanish tourism. Hence, the objective of this research is to analyze this aspect in the sustainability of the hotel sector through the case of the Community of Madrid (Spain). To this end, a qualitative research has been carried out (to …;https://jthr.es/index.php/journal/article/download/272/470;https://scholar.google.com/scholar?q=related:zJpIWjsF4ooJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:hotel+intitle:economy&hl=en&as_sdt=2007
0;Y Wang, R Wu, L Lang, Y Yuan, CG Liu, SSH Ho, ...;differential health and economic impacts from the covid-19 lockdown between the developed and developing countries perspective on air pollution;2021;Environmental …;Elsevier;https://www.sciencedirect.com/science/article/pii/S0269749121021266;;25;16.12.2021 01:42;;;;;;;;;0;0;0;7;1;It is enlightening to determine the discrepancies and potential reasons for the degree of impact from the COVID-19 control measures on air quality as well as the associated health and economic impacts. Analysis of air quality, socio-economic factors, and meteorological …;https://europepmc.org/articles/pmc8601204/bin/mmc1.docx;
0;H Zhang, P Li, Z Zhang, W Li, J Chen, X Song, ...;epidemic versus economic performances of the covid-19 lockdown in japan a mobility data analysis;2021;Cities;Elsevier;https://www.sciencedirect.com/science/article/pii/S0264275121004017;;28;16.12.2021 01:42;;;;;;;;;0;0;0;7;1;Lockdown measures have been a “panacea” for pandemic control but also a violent “poison” for economies. Lockdown policies strongly restrict human mobility but mobility reduce does harm to economics. Governments meet a thorny problem in balancing the pros and cons of …;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8531026/;
0;X Ke, C Hsiao;economic impact of the most drastic lockdown during covid?19 pandemicthe experience of hubei china;2021;Journal of Applied Econometrics;Wiley Online Library;https://onlinelibrary.wiley.com/doi/abs/10.1002/jae.2871;;31;16.12.2021 01:42;;10.1002/jae.2871;;;;;;;0;0;0;2;1;This paper uses a panel data approach to assess the evolution of economic consequences of the drastic lockdown policy in the epicenter of COVID?19—the Hubei Province of China during worldwide curbs on economic activity. We find that the drastic 76?day COVID?19 …;;
